amfi_code,beta,alpha,r_squared,scheme_name
119598,-0.023196062044059704,0.3033696538698332,0.0001414257550272172,SBI Small Cap Fund - Regular Plan - Growth
149324,0.011455159960520695,0.3005787817097677,3.532990626795555e-05,DSP Small Cap Fund - Regular - Growth
120505,0.0005490042506317072,0.2926358334175106,1.345534167566861e-07,ICICI Pru Midcap Fund - Regular - Growth
148569,0.018133884083859235,0.2827036785246582,0.00017488886568129533,Mirae Asset Tax Saver Fund - Regular - Growth
120843,-0.02282956979242655,0.27330465038306057,0.00034305434271514486,Kotak Flexicap Fund - Regular - Growth
100033,0.005103525830528319,0.2719535450128533,1.2066520635068207e-05,HDFC Mid-Cap Opportunities Fund - Regular - Growth
148567,0.023683558075848637,0.2698375144191807,0.000462543690662385,Mirae Asset Large Cap Fund - Regular - Growth
149323,-0.0025230046646992775,0.26598577542043045,3.3579781920089404e-06,DSP Midcap Fund - Regular - Growth
119094,-0.0662654286280376,0.2607666908004223,0.0019368789369602333,Axis Midcap Fund - Regular - Growth
119551,-0.031751441138909736,0.23201007160635082,0.0008869788879322819,SBI Bluechip Fund - Regular Plan - Growth
118632,-0.008353832126962014,0.21829397904608644,5.791756270127821e-05,Nippon India Large Cap Fund - Regular - Growth
101206,0.021086316250128037,0.21399784776051212,0.00034804820307142523,ABSL Frontline Equity Fund - Regular - Growth
120504,0.016232169761416997,0.2119482701352573,0.00021216129075887427,ICICI Pru Bluechip Fund - Direct - Growth
148568,-0.026387719943843025,0.20873010086942337,0.0004859264752797321,Mirae Asset Emerging Bluechip Fund - Regular - Growth
119552,-0.026159307513513426,0.1986859936686296,0.0005850821704543436,SBI Bluechip Fund - Direct Plan - Growth
125497,0.04882040425957739,0.17729754927531766,0.001840179278307158,HDFC Top 100 Fund - Direct Plan - Growth
120503,-0.040268952369820595,0.17703302365844073,0.001397444608331861,ICICI Pru Bluechip Fund - Regular - Growth
118634,0.10349663691337589,0.1750072167561127,0.0027930065610663234,Nippon India Small Cap Fund - Regular - Growth
102885,-0.019486785689474522,0.17048756803412696,0.00038285030730923807,UTI Nifty 50 Index Fund - Regular - Growth
120506,0.041896462728119775,0.1625385327998104,0.0012571178108220736,ICICI Pru Value Discovery Fund - Regular - Growth
102887,0.016682689437770844,0.16211256794033255,0.00018619166432850203,UTI Flexi Cap Fund - Regular - Growth
118633,-0.03663900671860936,0.1564383594816967,0.0011382947171084286,Nippon India Large Cap Fund - Direct - Growth
118635,-0.001433521389780124,0.1513635464823924,2.025340897232818e-06,Nippon India ETF Nifty 50 BeES
149322,-0.004050271130006523,0.13173190226099432,1.3227607880850393e-05,DSP Top 100 Equity Fund - Regular - Growth
120841,0.0363563990221998,0.13042924450705445,0.0012113711061211869,Kotak Bluechip Fund - Regular - Growth
125498,0.009054412621739151,0.11989100971217971,4.0437465536342426e-05,HDFC Mid-Cap Opportunities Fund - Direct - Growth
101207,-0.06528924788351523,0.10897091901704538,0.0010641052735572613,ABSL Small Cap Fund - Regular - Growth
119093,0.02588321244009315,0.08232801295222093,0.0005692038090244866,Axis Bluechip Fund - Direct - Growth
120842,0.018056874208118138,0.0780443887615508,0.00016915548838314316,Kotak Emerging Equity Fund - Regular - Growth
119092,0.009730745001153646,0.0689952982167755,8.082637693810791e-05,Axis Bluechip Fund - Regular - Growth
120507,-0.0004440926329707229,0.06746210411099539,0.0001343066144067983,ICICI Pru Liquid Fund - Regular - Growth
120844,-0.0004007442394784014,0.06455677495375998,0.00010125435692271783,Kotak Liquid Fund - Regular - Growth
101208,0.0002667096833823837,0.060861457957871144,4.6076236771052116e-05,ABSL Liquid Fund - Regular - Growth
119120,-0.006413850728276462,0.05620895216638369,0.00043426033217200334,SBI Magnum Gilt Fund - Regular Plan - Growth
118636,0.0012566742731558514,0.05074772999976104,1.6516652310332888e-05,Nippon India Gilt Securities Fund - Regular - Growth
119599,0.0620018043826717,0.048824215945539845,0.0010259205326765973,SBI Small Cap Fund - Direct Plan - Growth
119095,-0.06695117463929204,0.048015953637759554,0.0011851593464486726,Axis Small Cap Fund - Regular - Growth
100025,0.0011582183155281456,0.042817920315060876,1.4612842041845013e-05,HDFC Short Term Debt Fund - Regular - Growth
100016,-0.05826843143880892,0.03747580763443281,0.002665032698133324,HDFC Top 100 Fund - Regular Plan - Growth
102886,-0.042125029021894356,0.028969397866379445,0.0008964294600687593,UTI Mid Cap Fund - Regular - Growth
